position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Xiomara Castro,Q8044708,2022-01-27,female,1959-09-30,,Xiomara Castro on presidential inauguration (cropped).jpg,Xiomara Castro
Secretary of Agriculture,Laura Suazo,Q110787218,2022-01-27,,,,,
Secretary of Defence,José Manuel Zelaya Rosales,Q110787063,2022-01-27,male,,,,
Secretary of Education,Daniel Esponda,Q110787162,2022-01-27,,,,,
Secretary of Finance,Rixi Moncada,Q76760763,2022-01-27,female,1965,,,
Secretary of Foreign Affairs,Eduardo Enrique Reina,Q110786692,2022-01-27,,,,,
Secretary of Health,José Manuel Matheu,Q110787179,2022-01-27,,,,,
Secretary of the Interior,Tomás Vaquero,Q110786495,2022-01-27,,,,,
Private Secretary of the Presidency,Héctor Zelaya Castro,Q110787596,2022-01-27,male,,,,
