position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Carlos Roberto Flores,Q654177,1998-01-27,2002-01-27,male,1950-03-10,,Carlos Flores Facusse.JPG,Carlos Roberto Flores
President,Ricardo Maduro,Q441393,2002-01-27,2006-01-27,male,1946-04-20,,US Navy 030820-F-2828D-168 Honduran President Ricardo Maduro 2003-08-20.jpg,Ricardo Maduro
President,Manuel Zelaya,Q191060,2006-01-27,2009-06-28,male,1952-09-20,,"Manuel Zelaya (Brasília, 03 April 2006).jpeg",Manuel Zelaya
President,Roberto Micheletti,Q299442,2009-06-28,2010-01-27,male,1943-08-13,,Roberto micheletti 01.jpg,Roberto Micheletti
President,Porfirio Lobo Sosa,Q4737,2010-01-27,2014-01-27,male,1947-12-22,,Pepe Lobo 2010-01-27.jpg,Porfirio Lobo Sosa
President,Juan Orlando Hernández Alvarado,Q5951723,2014-01-27,2022-01-27,male,1968-10-28,,"Juan Orlando Hernández, May 2015.jpg",Juan Orlando Hernández
President,Xiomara Castro,Q8044708,2022-01-27,,female,1959-09-30,,"Xiomara Castro (August 07, 2007).jpg",Xiomara Castro
President of the National Congress,José Alfredo Saavedra,Q6291338,2009-06-28,2010-01-25,male,1964-12-04,,,José Alfredo Saavedra
President of the National Congress,Juan Orlando Hernández Alvarado,Q5951723,2010,2014,male,1968-10-28,,"Juan Orlando Hernández, May 2015.jpg",Juan Orlando Hernández
First Lady,Xiomara Castro,Q8044708,2006-01-27,2009-06-28,female,1959-09-30,,"Xiomara Castro (August 07, 2007).jpg",Xiomara Castro
